Accession	Gene_name	Organism	Function	Subcellular_location	Length
A0A3N0XWY2	NA	Anabarilius grahami	Catalyzes the scrambling of phospholipids across the outer mitochondrial membrane; the mechanism is unrelated to channel activity and is capable of translocating both anionic and zwitterionic phospholipids	Mitochondrion outer membrane	342
A0A3N0YIV3	NA	Anabarilius grahami	Non-selective voltage-gated ion channel that mediates the transport of anions and cations through the mitochondrion outer membrane and plasma membrane. Forms a high-conducting channel with a stable open state and a voltage-induced closure with a mild preference for anions over cations. Involved in male fertility and sperm mitochondrial sheath formation	Mitochondrion outer membrane	300
A0A3N2Q3B1	NA	Sodiomyces alkalinus (strain CBS 110278 / VKM F-3762 / F11)	Forms a channel through the cell membrane that allows diffusion of small hydrophilic molecules. The channel adopts an open conformation at low or zero membrane potential and a closed conformation at potentials above 30-40 mV. The open state has a weak anion selectivity whereas the closed state is cation-selective	Mitochondrion outer membrane	283
A0A3N2Q5J6	MDM10	Sodiomyces alkalinus (strain CBS 110278 / VKM F-3762 / F11)	Component of the ERMES/MDM complex, which serves as a molecular tether to connect the endoplasmic reticulum and mitochondria. Components of this complex are involved in the control of mitochondrial shape and protein biogenesis and may function in phospholipid exchange. MDM10 is involved in the late assembly steps of the general translocase of the mitochondrial outer membrane (TOM complex). Functions in the TOM40-specific route of the assembly of outer membrane beta-barrel proteins, including the association of TOM40 with the receptor TOM22 and small TOM proteins. Can associate with the SAM(core) complex as well as the MDM12-MMM1 complex, both involved in late steps of the major beta-barrel assembly pathway, that is responsible for biogenesis of all outer membrane beta-barrel proteins. May act as a switch that shuttles between both complexes and channels precursor proteins into the TOM40-specific pathway. Plays a role in mitochondrial morphology and in the inheritance of mitochondria	Mitochondrion outer membrane	432
A0A3N4I5P9	MDM10	Ascobolus immersus RN42	Component of the ERMES/MDM complex, which serves as a molecular tether to connect the endoplasmic reticulum and mitochondria. Components of this complex are involved in the control of mitochondrial shape and protein biogenesis and may function in phospholipid exchange. MDM10 is involved in the late assembly steps of the general translocase of the mitochondrial outer membrane (TOM complex). Functions in the TOM40-specific route of the assembly of outer membrane beta-barrel proteins, including the association of TOM40 with the receptor TOM22 and small TOM proteins. Can associate with the SAM(core) complex as well as the MDM12-MMM1 complex, both involved in late steps of the major beta-barrel assembly pathway, that is responsible for biogenesis of all outer membrane beta-barrel proteins. May act as a switch that shuttles between both complexes and channels precursor proteins into the TOM40-specific pathway. Plays a role in mitochondrial morphology and in the inheritance of mitochondria	Mitochondrion outer membrane	409
A0A3N4JB88	NA	Choiromyces venosus 120613-1	Forms a channel through the cell membrane that allows diffusion of small hydrophilic molecules. The channel adopts an open conformation at low or zero membrane potential and a closed conformation at potentials above 30-40 mV. The open state has a weak anion selectivity whereas the closed state is cation-selective	Mitochondrion outer membrane	288
A0A3N4JZ52	MDM10	Choiromyces venosus 120613-1	Component of the ERMES/MDM complex, which serves as a molecular tether to connect the endoplasmic reticulum and mitochondria. Components of this complex are involved in the control of mitochondrial shape and protein biogenesis and may function in phospholipid exchange. MDM10 is involved in the late assembly steps of the general translocase of the mitochondrial outer membrane (TOM complex). Functions in the TOM40-specific route of the assembly of outer membrane beta-barrel proteins, including the association of TOM40 with the receptor TOM22 and small TOM proteins. Can associate with the SAM(core) complex as well as the MDM12-MMM1 complex, both involved in late steps of the major beta-barrel assembly pathway, that is responsible for biogenesis of all outer membrane beta-barrel proteins. May act as a switch that shuttles between both complexes and channels precursor proteins into the TOM40-specific pathway. Plays a role in mitochondrial morphology and in the inheritance of mitochondria	Mitochondrion outer membrane	371
A0A3N4KM11	NA	Morchella conica CCBAS932	Forms a channel through the cell membrane that allows diffusion of small hydrophilic molecules. The channel adopts an open conformation at low or zero membrane potential and a closed conformation at potentials above 30-40 mV. The open state has a weak anion selectivity whereas the closed state is cation-selective	Mitochondrion outer membrane	288
A0A3N4KQZ3	MDM10	Morchella conica CCBAS932	Component of the ERMES/MDM complex, which serves as a molecular tether to connect the endoplasmic reticulum and mitochondria. Components of this complex are involved in the control of mitochondrial shape and protein biogenesis and may function in phospholipid exchange. MDM10 is involved in the late assembly steps of the general translocase of the mitochondrial outer membrane (TOM complex). Functions in the TOM40-specific route of the assembly of outer membrane beta-barrel proteins, including the association of TOM40 with the receptor TOM22 and small TOM proteins. Can associate with the SAM(core) complex as well as the MDM12-MMM1 complex, both involved in late steps of the major beta-barrel assembly pathway, that is responsible for biogenesis of all outer membrane beta-barrel proteins. May act as a switch that shuttles between both complexes and channels precursor proteins into the TOM40-specific pathway. Plays a role in mitochondrial morphology and in the inheritance of mitochondria	Mitochondrion outer membrane	374
A0A3N4M6F8	NA	Terfezia boudieri ATCC MYA-4762	Forms a channel through the cell membrane that allows diffusion of small hydrophilic molecules. The channel adopts an open conformation at low or zero membrane potential and a closed conformation at potentials above 30-40 mV. The open state has a weak anion selectivity whereas the closed state is cation-selective	Mitochondrion outer membrane	284
A0A3N4MBX0	MDM10	Terfezia boudieri ATCC MYA-4762	Component of the ERMES/MDM complex, which serves as a molecular tether to connect the endoplasmic reticulum and mitochondria. Components of this complex are involved in the control of mitochondrial shape and protein biogenesis and may function in phospholipid exchange. MDM10 is involved in the late assembly steps of the general translocase of the mitochondrial outer membrane (TOM complex). Functions in the TOM40-specific route of the assembly of outer membrane beta-barrel proteins, including the association of TOM40 with the receptor TOM22 and small TOM proteins. Can associate with the SAM(core) complex as well as the MDM12-MMM1 complex, both involved in late steps of the major beta-barrel assembly pathway, that is responsible for biogenesis of all outer membrane beta-barrel proteins. May act as a switch that shuttles between both complexes and channels precursor proteins into the TOM40-specific pathway. Plays a role in mitochondrial morphology and in the inheritance of mitochondria	Mitochondrion outer membrane	381
A0A3P5ZYT6	NA	Brassica campestris	NA	Endomembrane system	604
A0A3P6SRF2	NA	Litomosoides sigmodontis	NA	Mitochondrion outer membrane	327
A0A3P8NJG8	TOMM40	Astatotilapia calliptera	NA	Mitochondrion outer membrane	329
A0A3P8P061	VDAC2	Astatotilapia calliptera	Catalyzes the scrambling of phospholipids across the outer mitochondrial membrane; the mechanism is unrelated to channel activity and is capable of translocating both anionic and zwitterionic phospholipids	Mitochondrion outer membrane	287
A0A3P8PG96	VDAC2	Astatotilapia calliptera	Non-selective voltage-gated ion channel that mediates the transport of anions and cations through the mitochondrion outer membrane and plasma membrane. Forms a high-conducting channel with a stable open state and a voltage-induced closure with a mild preference for anions over cations. Involved in male fertility and sperm mitochondrial sheath formation	Mitochondrion outer membrane	323
A0A3P8PWP9	VDAC2	Astatotilapia calliptera	Catalyzes the scrambling of phospholipids across the outer mitochondrial membrane; the mechanism is unrelated to channel activity and is capable of translocating both anionic and zwitterionic phospholipids	Mitochondrion outer membrane	287
A0A3P8RFW5	TOMM40L	Astatotilapia calliptera	NA	Mitochondrion outer membrane	337
A0A3P8RGT7	TOMM40	Astatotilapia calliptera	NA	Mitochondrion outer membrane	351
A0A3P8RHG4	TOMM40	Astatotilapia calliptera	NA	Mitochondrion outer membrane	358
A0A3P8SPZ7	VDAC3	Amphiprion percula	Non-selective voltage-gated ion channel that mediates the transport of anions and cations through the mitochondrion outer membrane and plasma membrane. Forms a high-conducting channel with a stable open state and a voltage-induced closure with a mild preference for anions over cations. Involved in male fertility and sperm mitochondrial sheath formation	Mitochondrion outer membrane	264
A0A3P8SQ24	VDAC3	Amphiprion percula	Non-selective voltage-gated ion channel that mediates the transport of anions and cations through the mitochondrion outer membrane and plasma membrane. Forms a high-conducting channel with a stable open state and a voltage-induced closure with a mild preference for anions over cations. Involved in male fertility and sperm mitochondrial sheath formation	Mitochondrion outer membrane	94
A0A3P8SQP5	VDAC3	Amphiprion percula	Non-selective voltage-gated ion channel that mediates the transport of anions and cations through the mitochondrion outer membrane and plasma membrane. Forms a high-conducting channel with a stable open state and a voltage-induced closure with a mild preference for anions over cations. Involved in male fertility and sperm mitochondrial sheath formation	Mitochondrion outer membrane	295
A0A3P8SRA9	VDAC3	Amphiprion percula	Non-selective voltage-gated ion channel that mediates the transport of anions and cations through the mitochondrion outer membrane and plasma membrane. Forms a high-conducting channel with a stable open state and a voltage-induced closure with a mild preference for anions over cations. Involved in male fertility and sperm mitochondrial sheath formation	Mitochondrion outer membrane	265
A0A3P8T7W4	VDAC2	Amphiprion percula	Catalyzes the scrambling of phospholipids across the outer mitochondrial membrane; the mechanism is unrelated to channel activity and is capable of translocating both anionic and zwitterionic phospholipids	Mitochondrion outer membrane	283
A0A3P8TM84	NA	Amphiprion percula	Non-selective voltage-gated ion channel that mediates the transport of anions and cations through the mitochondrion outer membrane and plasma membrane. Forms a high-conducting channel with a stable open state and a voltage-induced closure with a mild preference for anions over cations. Involved in male fertility and sperm mitochondrial sheath formation	Mitochondrion outer membrane	323
A0A3P8VDC2	VDAC2	Cynoglossus semilaevis	Catalyzes the scrambling of phospholipids across the outer mitochondrial membrane; the mechanism is unrelated to channel activity and is capable of translocating both anionic and zwitterionic phospholipids	Mitochondrion outer membrane	283
A0A3P8W4G3	NA	Cynoglossus semilaevis	Non-selective voltage-gated ion channel that mediates the transport of anions and cations through the mitochondrion outer membrane and plasma membrane. Forms a high-conducting channel with a stable open state and a voltage-induced closure with a mild preference for anions over cations. Involved in male fertility and sperm mitochondrial sheath formation	Mitochondrion outer membrane	281
A0A3P8WU21	NA	Cynoglossus semilaevis	Non-selective voltage-gated ion channel that mediates the transport of anions and cations through the mitochondrion outer membrane and plasma membrane. Forms a high-conducting channel with a stable open state and a voltage-induced closure with a mild preference for anions over cations. Involved in male fertility and sperm mitochondrial sheath formation	Mitochondrion outer membrane	276
A0A3P8WWK1	NA	Cynoglossus semilaevis	Non-selective voltage-gated ion channel that mediates the transport of anions and cations through the mitochondrion outer membrane and plasma membrane. Forms a high-conducting channel with a stable open state and a voltage-induced closure with a mild preference for anions over cations. Involved in male fertility and sperm mitochondrial sheath formation	Mitochondrion outer membrane	312
A0A3P8X1W7	NA	Cynoglossus semilaevis	Non-selective voltage-gated ion channel that mediates the transport of anions and cations through the mitochondrion outer membrane and plasma membrane. Forms a high-conducting channel with a stable open state and a voltage-induced closure with a mild preference for anions over cations. Involved in male fertility and sperm mitochondrial sheath formation	Mitochondrion outer membrane	316
A0A3P8XWH0	VDAC3	Esox lucius	Non-selective voltage-gated ion channel that mediates the transport of anions and cations through the mitochondrion outer membrane and plasma membrane. Forms a high-conducting channel with a stable open state and a voltage-induced closure with a mild preference for anions over cations. Involved in male fertility and sperm mitochondrial sheath formation	Mitochondrion outer membrane	291
A0A3P8Y213	TOMM40L	Esox lucius	NA	Mitochondrion outer membrane	330
A0A3P8YXU2	TOMM40	Esox lucius	NA	Mitochondrion outer membrane	345
A0A3P8Z6Z8	VDAC2	Esox lucius	Catalyzes the scrambling of phospholipids across the outer mitochondrial membrane; the mechanism is unrelated to channel activity and is capable of translocating both anionic and zwitterionic phospholipids	Mitochondrion outer membrane	266
A0A3P8ZT41	VDAC3	Esox lucius	Non-selective voltage-gated ion channel that mediates the transport of anions and cations through the mitochondrion outer membrane and plasma membrane. Forms a high-conducting channel with a stable open state and a voltage-induced closure with a mild preference for anions over cations. Involved in male fertility and sperm mitochondrial sheath formation	Mitochondrion outer membrane	323
A0A3P9AGB8	TOMM40	Esox lucius	NA	Mitochondrion outer membrane	345
A0A3P9AKA7	TOMM40L	Esox lucius	NA	Mitochondrion outer membrane	355
A0A3P9AKD0	TOMM40L	Esox lucius	NA	Mitochondrion outer membrane	339
A0A3P9BMY3	VDAC3	Maylandia zebra	Non-selective voltage-gated ion channel that mediates the transport of anions and cations through the mitochondrion outer membrane and plasma membrane. Forms a high-conducting channel with a stable open state and a voltage-induced closure with a mild preference for anions over cations. Involved in male fertility and sperm mitochondrial sheath formation	Mitochondrion outer membrane	281
A0A3P9BTS4	NA	Maylandia zebra	Non-selective voltage-gated ion channel that mediates the transport of anions and cations through the mitochondrion outer membrane and plasma membrane. Forms a high-conducting channel with a stable open state and a voltage-induced closure with a mild preference for anions over cations. Involved in male fertility and sperm mitochondrial sheath formation	Mitochondrion outer membrane	322
A0A3P9CH08	VDAC2	Maylandia zebra	Catalyzes the scrambling of phospholipids across the outer mitochondrial membrane; the mechanism is unrelated to channel activity and is capable of translocating both anionic and zwitterionic phospholipids	Mitochondrion outer membrane	283
A0A3P9H7G8	NA	Oryzias latipes	Non-selective voltage-gated ion channel that mediates the transport of anions and cations through the mitochondrion outer membrane and plasma membrane. Forms a high-conducting channel with a stable open state and a voltage-induced closure with a mild preference for anions over cations. Involved in male fertility and sperm mitochondrial sheath formation	Mitochondrion outer membrane	329
A0A3P9H7K0	NA	Oryzias latipes	Non-selective voltage-gated ion channel that mediates the transport of anions and cations through the mitochondrion outer membrane and plasma membrane. Forms a high-conducting channel with a stable open state and a voltage-induced closure with a mild preference for anions over cations. Involved in male fertility and sperm mitochondrial sheath formation	Mitochondrion outer membrane	275
A0A3P9I3M2	NA	Oryzias latipes	Non-selective voltage-gated ion channel that mediates the transport of anions and cations through the mitochondrion outer membrane and plasma membrane. Forms a high-conducting channel with a stable open state and a voltage-induced closure with a mild preference for anions over cations. Involved in male fertility and sperm mitochondrial sheath formation	Mitochondrion outer membrane	314
A0A3P9JGQ0	NA	Oryzias latipes	Non-selective voltage-gated ion channel that mediates the transport of anions and cations through the mitochondrion outer membrane and plasma membrane. Forms a high-conducting channel with a stable open state and a voltage-induced closure with a mild preference for anions over cations. Involved in male fertility and sperm mitochondrial sheath formation	Mitochondrion outer membrane	322
A0A3P9KG83	NA	Oryzias latipes	Catalyzes the scrambling of phospholipids across the outer mitochondrial membrane; the mechanism is unrelated to channel activity and is capable of translocating both anionic and zwitterionic phospholipids	Mitochondrion outer membrane	283
A0A3P9L7T4	NA	Oryzias latipes	Non-selective voltage-gated ion channel that mediates the transport of anions and cations through the mitochondrion outer membrane and plasma membrane. Forms a high-conducting channel with a stable open state and a voltage-induced closure with a mild preference for anions over cations. Involved in male fertility and sperm mitochondrial sheath formation	Mitochondrion outer membrane	281
A0A3P9LUW1	NA	Oryzias latipes	Non-selective voltage-gated ion channel that mediates the transport of anions and cations through the mitochondrion outer membrane and plasma membrane. Forms a high-conducting channel with a stable open state and a voltage-induced closure with a mild preference for anions over cations. Involved in male fertility and sperm mitochondrial sheath formation	Mitochondrion outer membrane	322
A0A3P9LZL9	NA	Oryzias latipes	NA	Mitochondrion outer membrane	331
A0A3P9MHJ8	NA	Oryzias latipes	Non-selective voltage-gated ion channel that mediates the transport of anions and cations through the mitochondrion outer membrane and plasma membrane. Forms a high-conducting channel with a stable open state and a voltage-induced closure with a mild preference for anions over cations. Involved in male fertility and sperm mitochondrial sheath formation	Mitochondrion outer membrane	281
A0A3P9N3B3	NA	Poecilia reticulata	Catalyzes the scrambling of phospholipids across the outer mitochondrial membrane; the mechanism is unrelated to channel activity and is capable of translocating both anionic and zwitterionic phospholipids	Mitochondrion outer membrane	283
A0A3P9P4I4	NA	Poecilia reticulata	Non-selective voltage-gated ion channel that mediates the transport of anions and cations through the mitochondrion outer membrane and plasma membrane. Forms a high-conducting channel with a stable open state and a voltage-induced closure with a mild preference for anions over cations. Involved in male fertility and sperm mitochondrial sheath formation	Mitochondrion outer membrane	301
A0A3P9PKL8	NA	Poecilia reticulata	NA	Mitochondrion outer membrane	341
A0A3P9PL11	NA	Poecilia reticulata	NA	Mitochondrion outer membrane	300
A0A3P9PR72	NA	Poecilia reticulata	Non-selective voltage-gated ion channel that mediates the transport of anions and cations through the mitochondrion outer membrane and plasma membrane. Forms a high-conducting channel with a stable open state and a voltage-induced closure with a mild preference for anions over cations. Involved in male fertility and sperm mitochondrial sheath formation	Mitochondrion outer membrane	274
A0A3Q0DQG6	VDAC3	Carlito syrichta	Non-selective voltage-gated ion channel that mediates the transport of anions and cations through the mitochondrion outer membrane and plasma membrane. Forms a high-conducting channel with a stable open state and a voltage-induced closure with a mild preference for anions over cations. Involved in male fertility and sperm mitochondrial sheath formation	Mitochondrion outer membrane	284
A0A3Q0DRT2	TOMM20	Carlito syrichta	Central component of the receptor complex responsible for the recognition and translocation of cytosolically synthesized mitochondrial preproteins. Together with TOM22 functions as the transit peptide receptor at the surface of the mitochondrion outer membrane and facilitates the movement of preproteins into the TOM40 translocation pore. Required for the translocation across the mitochondrial outer membrane of cytochrome P450 monooxygenases	Mitochondrion outer membrane	143
A0A3Q0DTU8	VDAC3	Carlito syrichta	Non-selective voltage-gated ion channel that mediates the transport of anions and cations through the mitochondrion outer membrane and plasma membrane. Forms a high-conducting channel with a stable open state and a voltage-induced closure with a mild preference for anions over cations. Involved in male fertility and sperm mitochondrial sheath formation	Mitochondrion outer membrane	283
A0A3Q0H9D2	VDAC2	Alligator sinensis	Catalyzes the scrambling of phospholipids across the outer mitochondrial membrane; the mechanism is unrelated to channel activity and is capable of translocating both anionic and zwitterionic phospholipids	Mitochondrion outer membrane	283
A0A3Q0HDV0	VDAC2	Alligator sinensis	Catalyzes the scrambling of phospholipids across the outer mitochondrial membrane; the mechanism is unrelated to channel activity and is capable of translocating both anionic and zwitterionic phospholipids	Mitochondrion outer membrane	292
A0A3Q0SKV4	NA	Amphilophus citrinellus	Non-selective voltage-gated ion channel that mediates the transport of anions and cations through the mitochondrion outer membrane and plasma membrane. Forms a high-conducting channel with a stable open state and a voltage-induced closure with a mild preference for anions over cations. Involved in male fertility and sperm mitochondrial sheath formation	Mitochondrion outer membrane	285
A0A3Q0SV48	NA	Amphilophus citrinellus	Non-selective voltage-gated ion channel that mediates the transport of anions and cations through the mitochondrion outer membrane and plasma membrane. Forms a high-conducting channel with a stable open state and a voltage-induced closure with a mild preference for anions over cations. Involved in male fertility and sperm mitochondrial sheath formation	Mitochondrion outer membrane	276
A0A3Q0T3G1	VDAC2	Amphilophus citrinellus	Catalyzes the scrambling of phospholipids across the outer mitochondrial membrane; the mechanism is unrelated to channel activity and is capable of translocating both anionic and zwitterionic phospholipids	Mitochondrion outer membrane	283
A0A3Q1AH76	VDAC3	Amphiprion ocellaris	Non-selective voltage-gated ion channel that mediates the transport of anions and cations through the mitochondrion outer membrane and plasma membrane. Forms a high-conducting channel with a stable open state and a voltage-induced closure with a mild preference for anions over cations. Involved in male fertility and sperm mitochondrial sheath formation	Mitochondrion outer membrane	249
A0A3Q1AI43	NA	Amphiprion ocellaris	Catalyzes the scrambling of phospholipids across the outer mitochondrial membrane; the mechanism is unrelated to channel activity and is capable of translocating both anionic and zwitterionic phospholipids	Mitochondrion outer membrane	283
A0A3Q1AYM7	VDAC2	Amphiprion ocellaris	Catalyzes the scrambling of phospholipids across the outer mitochondrial membrane; the mechanism is unrelated to channel activity and is capable of translocating both anionic and zwitterionic phospholipids	Mitochondrion outer membrane	288
A0A3Q1B1M2	TOMM40L	Amphiprion ocellaris	NA	Mitochondrion outer membrane	331
A0A3Q1CLQ5	NA	Amphiprion ocellaris	Non-selective voltage-gated ion channel that mediates the transport of anions and cations through the mitochondrion outer membrane and plasma membrane. Forms a high-conducting channel with a stable open state and a voltage-induced closure with a mild preference for anions over cations. Involved in male fertility and sperm mitochondrial sheath formation	Mitochondrion outer membrane	285
A0A3Q1EID7	NA	Acanthochromis polyacanthus	Non-selective voltage-gated ion channel that mediates the transport of anions and cations through the mitochondrion outer membrane and plasma membrane. Forms a high-conducting channel with a stable open state and a voltage-induced closure with a mild preference for anions over cations. Involved in male fertility and sperm mitochondrial sheath formation	Mitochondrion outer membrane	272
A0A3Q1EJZ6	NA	Acanthochromis polyacanthus	Non-selective voltage-gated ion channel that mediates the transport of anions and cations through the mitochondrion outer membrane and plasma membrane. Forms a high-conducting channel with a stable open state and a voltage-induced closure with a mild preference for anions over cations. Involved in male fertility and sperm mitochondrial sheath formation	Mitochondrion outer membrane	323
A0A3Q1F494	NA	Acanthochromis polyacanthus	Non-selective voltage-gated ion channel that mediates the transport of anions and cations through the mitochondrion outer membrane and plasma membrane. Forms a high-conducting channel with a stable open state and a voltage-induced closure with a mild preference for anions over cations. Involved in male fertility and sperm mitochondrial sheath formation	Mitochondrion outer membrane	277
A0A3Q1F4S9	NA	Acanthochromis polyacanthus	Non-selective voltage-gated ion channel that mediates the transport of anions and cations through the mitochondrion outer membrane and plasma membrane. Forms a high-conducting channel with a stable open state and a voltage-induced closure with a mild preference for anions over cations. Involved in male fertility and sperm mitochondrial sheath formation	Mitochondrion outer membrane	268
A0A3Q1F717	NA	Acanthochromis polyacanthus	Non-selective voltage-gated ion channel that mediates the transport of anions and cations through the mitochondrion outer membrane and plasma membrane. Forms a high-conducting channel with a stable open state and a voltage-induced closure with a mild preference for anions over cations. Involved in male fertility and sperm mitochondrial sheath formation	Mitochondrion outer membrane	296
A0A3Q1F7W4	NA	Acanthochromis polyacanthus	Non-selective voltage-gated ion channel that mediates the transport of anions and cations through the mitochondrion outer membrane and plasma membrane. Forms a high-conducting channel with a stable open state and a voltage-induced closure with a mild preference for anions over cations. Involved in male fertility and sperm mitochondrial sheath formation	Mitochondrion outer membrane	286
A0A3Q1FK42	VDAC2	Acanthochromis polyacanthus	Catalyzes the scrambling of phospholipids across the outer mitochondrial membrane; the mechanism is unrelated to channel activity and is capable of translocating both anionic and zwitterionic phospholipids	Mitochondrion outer membrane	283
A0A3Q1H995	NA	Anabas testudineus	Non-selective voltage-gated ion channel that mediates the transport of anions and cations through the mitochondrion outer membrane and plasma membrane. Forms a high-conducting channel with a stable open state and a voltage-induced closure with a mild preference for anions over cations. Involved in male fertility and sperm mitochondrial sheath formation	Mitochondrion outer membrane	286
A0A3Q1HBT9	VDAC2	Anabas testudineus	Catalyzes the scrambling of phospholipids across the outer mitochondrial membrane; the mechanism is unrelated to channel activity and is capable of translocating both anionic and zwitterionic phospholipids	Mitochondrion outer membrane	262
A0A3Q1HKB1	TOMM40L	Anabas testudineus	NA	Mitochondrion outer membrane	341
A0A3Q1HLE2	NA	Acanthochromis polyacanthus	Non-selective voltage-gated ion channel that mediates the transport of anions and cations through the mitochondrion outer membrane and plasma membrane. Forms a high-conducting channel with a stable open state and a voltage-induced closure with a mild preference for anions over cations. Involved in male fertility and sperm mitochondrial sheath formation	Mitochondrion outer membrane	289
A0A3Q1I9K3	TOMM40	Anabas testudineus	NA	Mitochondrion outer membrane	342
A0A3Q1JH50	TOMM40L	Anabas testudineus	NA	Mitochondrion outer membrane	331
A0A3Q1JRC3	VDAC2	Anabas testudineus	Catalyzes the scrambling of phospholipids across the outer mitochondrial membrane; the mechanism is unrelated to channel activity and is capable of translocating both anionic and zwitterionic phospholipids	Mitochondrion outer membrane	283
A0A3Q1M0L2	NA	Bos taurus	Non-selective voltage-gated ion channel that mediates the transport of anions and cations through the mitochondrion outer membrane and plasma membrane. Forms a high-conducting channel with a stable open state and a voltage-induced closure with a mild preference for anions over cations. Involved in male fertility and sperm mitochondrial sheath formation	Mitochondrion outer membrane	101
A0A3Q1M5Z1	NA	Bos taurus	Non-selective voltage-gated ion channel that mediates the transport of anions and cations through the mitochondrion outer membrane and plasma membrane. Forms a high-conducting channel with a stable open state and a voltage-induced closure with a mild preference for anions over cations. Involved in male fertility and sperm mitochondrial sheath formation	Mitochondrion outer membrane	68
A0A3Q1N2B6	NA	Bos taurus	Central component of the receptor complex responsible for the recognition and translocation of cytosolically synthesized mitochondrial preproteins. Together with TOM22 functions as the transit peptide receptor at the surface of the mitochondrion outer membrane and facilitates the movement of preproteins into the TOM40 translocation pore. Required for the translocation across the mitochondrial outer membrane of cytochrome P450 monooxygenases	Mitochondrion outer membrane	145
A0A3Q2DST4	NA	Cyprinodon variegatus	Non-selective voltage-gated ion channel that mediates the transport of anions and cations through the mitochondrion outer membrane and plasma membrane. Forms a high-conducting channel with a stable open state and a voltage-induced closure with a mild preference for anions over cations. Involved in male fertility and sperm mitochondrial sheath formation	Mitochondrion outer membrane	282
A0A3Q2EEF7	NA	Cyprinodon variegatus	Non-selective voltage-gated ion channel that mediates the transport of anions and cations through the mitochondrion outer membrane and plasma membrane. Forms a high-conducting channel with a stable open state and a voltage-induced closure with a mild preference for anions over cations. Involved in male fertility and sperm mitochondrial sheath formation	Mitochondrion outer membrane	322
A0A3Q2G6M1	VDAC2	Cyprinodon variegatus	Catalyzes the scrambling of phospholipids across the outer mitochondrial membrane; the mechanism is unrelated to channel activity and is capable of translocating both anionic and zwitterionic phospholipids	Mitochondrion outer membrane	283
A0A3Q2H4I9	VDAC3	Equus caballus	Non-selective voltage-gated ion channel that mediates the transport of anions and cations through the mitochondrion outer membrane and plasma membrane. Forms a high-conducting channel with a stable open state and a voltage-induced closure with a mild preference for anions over cations. Involved in male fertility and sperm mitochondrial sheath formation	Mitochondrion outer membrane	285
A0A3Q2I9Z0	TOMM40	Equus caballus	NA	Mitochondrion outer membrane	418
A0A3Q2PBR4	VDAC2	Fundulus heteroclitus	Catalyzes the scrambling of phospholipids across the outer mitochondrial membrane; the mechanism is unrelated to channel activity and is capable of translocating both anionic and zwitterionic phospholipids	Mitochondrion outer membrane	283
A0A3Q2SZI2	NA	Fundulus heteroclitus	Non-selective voltage-gated ion channel that mediates the transport of anions and cations through the mitochondrion outer membrane and plasma membrane. Forms a high-conducting channel with a stable open state and a voltage-induced closure with a mild preference for anions over cations. Involved in male fertility and sperm mitochondrial sheath formation	Mitochondrion outer membrane	323
A0A3Q2SZI6	NA	Fundulus heteroclitus	Non-selective voltage-gated ion channel that mediates the transport of anions and cations through the mitochondrion outer membrane and plasma membrane. Forms a high-conducting channel with a stable open state and a voltage-induced closure with a mild preference for anions over cations. Involved in male fertility and sperm mitochondrial sheath formation	Mitochondrion outer membrane	283
A0A3Q2TPB6	VDAC3	Fundulus heteroclitus	Non-selective voltage-gated ion channel that mediates the transport of anions and cations through the mitochondrion outer membrane and plasma membrane. Forms a high-conducting channel with a stable open state and a voltage-induced closure with a mild preference for anions over cations. Involved in male fertility and sperm mitochondrial sheath formation	Mitochondrion outer membrane	281
A0A3Q2UC75	NA	Gallus gallus	Non-selective voltage-gated ion channel that mediates the transport of anions and cations through the mitochondrion outer membrane and plasma membrane. Forms a high-conducting channel with a stable open state and a voltage-induced closure with a mild preference for anions over cations. Involved in male fertility and sperm mitochondrial sheath formation	Mitochondrion outer membrane	126
A0A3Q2VD43	VDAC3	Haplochromis burtoni	Non-selective voltage-gated ion channel that mediates the transport of anions and cations through the mitochondrion outer membrane and plasma membrane. Forms a high-conducting channel with a stable open state and a voltage-induced closure with a mild preference for anions over cations. Involved in male fertility and sperm mitochondrial sheath formation	Mitochondrion outer membrane	281
A0A3Q2VTS3	NA	Haplochromis burtoni	Non-selective voltage-gated ion channel that mediates the transport of anions and cations through the mitochondrion outer membrane and plasma membrane. Forms a high-conducting channel with a stable open state and a voltage-induced closure with a mild preference for anions over cations. Involved in male fertility and sperm mitochondrial sheath formation	Mitochondrion outer membrane	322
A0A3Q2W165	NA	Haplochromis burtoni	Catalyzes the scrambling of phospholipids across the outer mitochondrial membrane; the mechanism is unrelated to channel activity and is capable of translocating both anionic and zwitterionic phospholipids	Mitochondrion outer membrane	283
A0A3Q2X806	VDAC2	Haplochromis burtoni	Catalyzes the scrambling of phospholipids across the outer mitochondrial membrane; the mechanism is unrelated to channel activity and is capable of translocating both anionic and zwitterionic phospholipids	Mitochondrion outer membrane	297
A0A3Q2XBF9	NA	Hippocampus comes	Catalyzes the scrambling of phospholipids across the outer mitochondrial membrane; the mechanism is unrelated to channel activity and is capable of translocating both anionic and zwitterionic phospholipids	Mitochondrion outer membrane	274
A0A3Q2XGR9	NA	Hippocampus comes	Non-selective voltage-gated ion channel that mediates the transport of anions and cations through the mitochondrion outer membrane and plasma membrane. Forms a high-conducting channel with a stable open state and a voltage-induced closure with a mild preference for anions over cations. Involved in male fertility and sperm mitochondrial sheath formation	Mitochondrion outer membrane	281
